time	EP0	EQ	EP*	[PC]	[PC+]	[Q]	[Q-]	[PC*]	EQh	lambda	Ilamp	Abscoef	k2	Gdiff
1e+08	-0.1	-0.45	-1.15	0.9989	0.00110004	0.9989	0.00110004	5.14364e-12	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-3	0.999584	0.000416025	0.999584	0.000416025	5.07546e-10	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-2.95	0.999584	0.000416025	0.999584	0.000416025	5.07546e-10	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-2.9	0.999584	0.000416025	0.999584	0.000416025	5.07546e-10	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-2.85	0.999584	0.000416025	0.999584	0.000416025	5.07546e-10	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-2.8	0.999584	0.000416025	0.999584	0.000416025	5.07546e-10	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-2.75	0.999584	0.000416025	0.999584	0.000416025	5.07546e-10	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-2.7	0.999584	0.000416025	0.999584	0.000416025	5.07546e-10	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-2.65	0.999584	0.000416025	0.999584	0.000416025	5.07546e-10	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-2.6	0.999584	0.000416025	0.999584	0.000416025	5.07546e-10	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-2.55	0.999584	0.000416025	0.999584	0.000416025	5.07546e-10	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-2.5	0.999584	0.000416025	0.999584	0.000416025	5.07546e-10	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-2.45	0.999584	0.000416025	0.999584	0.000416025	5.07546e-10	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-2.4	0.999584	0.000416025	0.999584	0.000416025	5.07546e-10	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-2.35	0.999584	0.000416025	0.999584	0.000416025	5.07546e-10	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-2.3	0.999584	0.000416025	0.999584	0.000416025	5.07546e-10	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-2.25	0.999584	0.000416025	0.999584	0.000416025	5.07546e-10	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-2.2	0.999584	0.000416025	0.999584	0.000416025	5.07545e-10	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-2.15	0.999584	0.000416025	0.999584	0.000416025	5.07539e-10	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-2.1	0.999584	0.000416025	0.999584	0.000416025	5.07501e-10	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-2.05	0.999584	0.000416025	0.999584	0.000416025	5.07265e-10	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-2	0.999584	0.000416025	0.999584	0.000416025	5.05941e-10	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-1.95	0.999584	0.000416025	0.999584	0.000416025	4.99224e-10	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-1.9	0.999584	0.000416025	0.999584	0.000416025	4.69794e-10	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-1.85	0.999584	0.000416026	0.999584	0.000416026	3.74476e-10	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-1.8	0.999584	0.000416027	0.999584	0.000416027	2.07886e-10	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-1.75	0.999584	0.000416028	0.999584	0.000416028	7.97564e-11	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-1.7	0.999584	0.000416028	0.999584	0.000416028	2.62865e-11	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-1.65	0.999584	0.000416028	0.999584	0.000416028	8.70199e-12	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-1.6	0.999584	0.000416028	0.999584	0.000416028	5.14105e-12	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-1.55	0.999584	0.000416028	0.999584	0.000416028	5.14105e-12	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-1.5	0.999584	0.000416028	0.999584	0.000416028	5.14105e-12	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-1.45	0.999584	0.000416028	0.999584	0.000416028	5.14105e-12	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-1.4	0.999584	0.000416028	0.999584	0.000416028	5.14105e-12	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-1.35	0.999584	0.000416028	0.999584	0.000416028	5.14105e-12	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-1.3	0.999584	0.000416028	0.999584	0.000416028	5.14105e-12	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-1.25	0.999584	0.000416028	0.999584	0.000416028	5.14105e-12	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-1.2	0.999584	0.000416028	0.999584	0.000416028	5.14105e-12	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-1.15	0.999584	0.000416028	0.999584	0.000416028	5.14105e-12	-0.25	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-1.1	0.999584	0.000416028	0.999584	0.000416028	5.14106e-12	-0.25	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-3	0.999843	0.00015727	0.999843	0.00015727	5.0758e-10	-0.225	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-2.95	0.999843	0.00015727	0.999843	0.00015727	5.0758e-10	-0.225	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-2.9	0.999843	0.00015727	0.999843	0.00015727	5.0758e-10	-0.225	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-2.85	0.999843	0.00015727	0.999843	0.00015727	5.0758e-10	-0.225	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-2.8	0.999843	0.00015727	0.999843	0.00015727	5.0758e-10	-0.225	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-2.75	0.999843	0.00015727	0.999843	0.00015727	5.0758e-10	-0.225	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-2.7	0.999843	0.00015727	0.999843	0.00015727	5.0758e-10	-0.225	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-2.65	0.999843	0.00015727	0.999843	0.00015727	5.0758e-10	-0.225	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-2.6	0.999843	0.00015727	0.999843	0.00015727	5.0758e-10	-0.225	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-2.55	0.999843	0.00015727	0.999843	0.00015727	5.0758e-10	-0.225	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-2.5	0.999843	0.00015727	0.999843	0.00015727	5.0758e-10	-0.225	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-2.45	0.999843	0.00015727	0.999843	0.00015727	5.0758e-10	-0.225	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-2.4	0.999843	0.00015727	0.999843	0.00015727	5.0758e-10	-0.225	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-2.35	0.999843	0.00015727	0.999843	0.00015727	5.0758e-10	-0.225	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-2.3	0.999843	0.00015727	0.999843	0.00015727	5.0758e-10	-0.225	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-2.25	0.999843	0.00015727	0.999843	0.00015727	5.07579e-10	-0.225	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-2.2	0.999843	0.00015727	0.999843	0.00015727	5.07579e-10	-0.225	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-2.15	0.999843	0.00015727	0.999843	0.00015727	5.07573e-10	-0.225	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-2.1	0.999843	0.00015727	0.999843	0.00015727	5.07535e-10	-0.225	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-2.05	0.999843	0.00015727	0.999843	0.00015727	5.07299e-10	-0.225	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-2	0.999843	0.00015727	0.999843	0.00015727	5.05974e-10	-0.225	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-1.95	0.999843	0.00015727	0.999843	0.00015727	4.99255e-10	-0.225	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-1.9	0.999843	0.00015727	0.999843	0.00015727	4.69816e-10	-0.225	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-1.85	0.999843	0.000157272	0.999843	0.000157272	3.74475e-10	-0.225	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-1.8	0.999843	0.000157274	0.999843	0.000157274	2.07868e-10	-0.225001	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-1.75	0.999843	0.000157276	0.999843	0.000157276	7.97443e-11	-0.225001	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-1.7	0.999843	0.000157277	0.999843	0.000157277	2.62818e-11	-0.225001	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-1.65	0.999843	0.000157278	0.999843	0.000157278	8.70035e-12	-0.225001	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-1.6	0.999843	0.000157278	0.999843	0.000157278	5.14008e-12	-0.225001	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-1.55	0.999843	0.000157278	0.999843	0.000157278	5.14008e-12	-0.225001	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-1.5	0.999843	0.000157278	0.999843	0.000157278	5.14008e-12	-0.225001	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-1.45	0.999843	0.000157278	0.999843	0.000157278	5.14008e-12	-0.225001	54392	0.0564	1	1e+08	16000
