Plamp	Q_start	time	Dabs
14	6.229738848E-3	7.24769E-09	0.007193354
14	6.229738848E-3	1.03534E-08	0.015963933
14	6.229738848E-3	2.75964E-08	0.010350729
14	6.229738848E-3	2.84163E-08	0.012666162
14	6.229738848E-3	3.08761E-08	0.019612461
14	6.229738848E-3	3.1696E-08	0.021927893
14	6.229738848E-3	6.12501E-08	0.023927536
14	6.229738848E-3	6.20327E-08	0.026137722
14	6.229738848E-3	6.28527E-08	0.028453154
14	6.229738848E-3	6.36726E-08	0.030768587
14	6.229738848E-3	7.43314E-08	0.033715485
14	6.229738848E-3	9.48292E-08	0.037293848
14	6.229738848E-3	9.56492E-08	0.039609281
14	6.229738848E-3	1.26135E-07	0.044240097
14	6.229738848E-3	1.26955E-07	0.04655553
14	6.229738848E-3	1.34707E-07	0.041293166
14	6.229738848E-3	1.56621E-07	0.048870913
14	6.229738848E-3	1.86473E-07	0.051712531
14	6.229738848E-3	2.16176E-07	0.054133161
14	6.229738848E-3	2.16996E-07	0.056448594
14	6.229738848E-3	2.17816E-07	0.058764027
14	6.229738848E-3	2.57091E-07	0.061061852
14	6.229738848E-3	2.77372E-07	0.064026275
14	6.229738848E-3	3.0728E-07	0.067025763
14	6.229738848E-3	3.66164E-07	0.070393566
14	6.229738848E-3	4.25124E-07	0.073971863
14	6.229738848E-3	5.13096E-07	0.078023721
14	6.229738848E-3	9.37252E-07	0.081075154
14	6.229738848E-3	1.37881E-06	0.078969453
14	6.229738848E-3	1.59436E-06	0.076706271
14	6.229738848E-3	1.79246E-06	0.07406423
14	6.229738848E-3	2.0396E-06	0.071416842
14	6.229738848E-3	2.26954E-06	0.069092241
14	6.229738848E-3	2.52822E-06	0.066443079
14	6.229738848E-3	2.78698E-06	0.064048264
14	6.229738848E-3	3.04578E-06	0.061727121
14	6.229738848E-3	3.34036E-06	0.058666557
14	6.229738848E-3	3.70716E-06	0.055881264
14	6.229738848E-3	4.02372E-06	0.053747713
14	6.229738848E-3	4.31128E-06	0.051224296
14	6.229738848E-3	4.71427E-06	0.048802921
14	6.229738848E-3	5.10275E-06	0.046139126
14	6.229738848E-3	5.5298E-06	0.043783489
14	6.229738848E-3	6.0961E-06	0.040957588
14	6.229738848E-3	6.62099E-06	0.038849617
14	6.229738848E-3	6.92712E-06	0.037011444
14	6.229738848E-3	7.42106E-06	0.035415485
14	6.229738848E-3	8.05495E-06	0.033395564
14	6.229738848E-3	8.68889E-06	0.03148089
14	6.229738848E-3	9.00565E-06	0.029932257
14	6.229738848E-3	9.55342E-06	0.029096991
14	6.229738848E-3	1.01476E-05	0.027828588
14	6.229738848E-3	1.07976E-05	0.026233246
14	6.229738848E-3	1.14559E-05	0.025113463
14	6.229738848E-3	1.21122E-05	0.02393916
14	6.229738848E-3	1.27244E-05	0.023188128
14	6.229738848E-3	1.33586E-05	0.022038887
14	6.229738848E-3	1.39931E-05	0.02159767
14	6.229738848E-3	1.46273E-05	0.020639786
14	6.229738848E-3	1.52617E-05	0.019825421
14	6.229738848E-3	1.58816E-05	0.019006297
14	6.229738848E-3	1.65305E-05	0.018847308
14	6.229738848E-3	1.71782E-05	0.018190423
14	6.229738848E-3	1.77813E-05	0.017601923
14	6.229738848E-3	1.84578E-05	0.017177577
14	6.229738848E-3	1.86137E-05	0.016173077
14	6.229738848E-3	1.92191E-05	0.01655153
14	6.229738848E-3	1.98997E-05	0.016052459
14	6.229738848E-3	2.04861E-05	0.015665543
14	6.229738848E-3	2.07841E-05	0.015314206
14	6.229738848E-3	2.13177E-05	0.015385046
14	6.229738848E-3	2.19883E-05	0.014910877
14	6.229738848E-3	2.26107E-05	0.014390148
14	6.229738848E-3	2.31788E-05	0.014057641
14	6.229738848E-3	2.38335E-05	0.014066229
14	6.229738848E-3	2.44903E-05	0.014049641
14	6.229738848E-3	2.51206E-05	0.013404772
14	6.229738848E-3	2.57282E-05	0.013310044
14	6.229738848E-3	2.63746E-05	0.013032994
14	6.229738848E-3	2.70505E-05	0.012700572
14	6.229738848E-3	2.76629E-05	0.012618557
14	6.229738848E-3	2.82782E-05	0.012494709
14	6.229738848E-3	2.89321E-05	0.012453717
14	6.229738848E-3	2.95532E-05	0.012105258
14	6.229738848E-3	3.01966E-05	0.011780313
14	6.229738848E-3	3.07985E-05	0.011613309
14	6.229738848E-3	3.14495E-05	0.011303964
14	6.229738848E-3	3.20817E-05	0.011565492
14	6.229738848E-3	3.27289E-05	0.011442545
