Plamp	Q_start	time	Dabs
23	0	1.87159E-08	-6.67E-02
23	0	3.88365E-08	-7.00E-02
23	0	4.18546E-08	-6.88E-02
23	0	7.66292E-08	-6.79E-02
23	0	9.52709E-08	-6.66E-02
23	0	1.1806E-07	-6.48E-02
23	0	1.4706E-07	-6.27E-02
23	0	1.76055E-07	-6.09E-02
23	0	1.98846E-07	-5.89E-02
23	0	2.19557E-07	-5.76E-02
23	0	2.38196E-07	-5.65E-02
23	0	2.63053E-07	-5.47E-02
23	0	2.94113E-07	-5.31E-02
23	0	3.25179E-07	-5.12E-02
23	0	3.4796E-07	-4.99E-02
23	0	3.79026E-07	-4.79E-02
23	0	4.05943E-07	-4.67E-02
23	0	4.37009E-07	-4.48E-02
23	0	4.63927E-07	-4.35E-02
23	0	4.97059E-07	-4.18E-02
23	0	5.38471E-07	-3.98E-02
23	0	5.73666E-07	-3.85E-02
23	0	6.10107E-07	-3.69E-02
23	0	6.44584E-07	-3.51E-02
23	0	6.82253E-07	-3.36E-02
23	0	7.19837E-07	-3.24E-02
23	0	7.64141E-07	-3.07E-02
23	0	8.09684E-07	-2.92E-02
23	0	8.53158E-07	-2.76E-02
23	0	8.96629E-07	-2.63E-02
23	0	9.40097E-07	-2.51E-02
23	0	9.87707E-07	-2.38E-02
23	0	1.03324E-06	-2.26E-02
23	0	1.07878E-06	-2.14E-02
23	0	1.1239E-06	-2.07E-02
23	0	1.16847E-06	-1.98E-02
23	0	1.21538E-06	-1.87E-02
23	0	1.25967E-06	-1.78E-02
23	0	1.30645E-06	-1.70E-02
23	0	1.35198E-06	-1.62E-02
23	0	1.39751E-06	-1.56E-02
23	0	1.43545E-06	-1.50E-02
23	0	1.48627E-06	-1.40E-02
23	0	1.53272E-06	-1.34E-02
23	0	1.57962E-06	-1.29E-02
23	0	1.62515E-06	-1.23E-02
23	0	1.67186E-06	-1.17E-02
23	0	1.72035E-06	-1.12E-02
23	0	1.76587E-06	-1.06E-02
23	0	1.8114E-06	-1.02E-02
23	0	1.85692E-06	-9.78E-03
23	0	1.90061E-06	-9.34E-03
23	0	1.95295E-06	-8.54E-03
23	0	2.00178E-06	-8.40E-03
23	0	2.05374E-06	-7.79E-03
23	0	2.10111E-06	-7.58E-03
23	0	2.14985E-06	-7.28E-03
23	0	2.19112E-06	-6.84E-03
23	0	2.2386E-06	-6.50E-03
23	0	2.28182E-06	-6.59E-03
23	0	2.32924E-06	-6.15E-03
23	0	2.38583E-06	-5.75E-03
23	0	2.42391E-06	-5.54E-03
23	0	2.46391E-06	-5.35E-03
23	0	2.5384E-06	-4.91E-03
23	0	2.5853E-06	-4.92E-03
23	0	2.6462E-06	-4.60E-03
23	0	2.69549E-06	-4.47E-03
23	0	2.78602E-06	-3.79E-03
23	0	2.84786E-06	-3.91E-03
23	0	2.8843E-06	-3.83E-03
23	0	2.92671E-06	-3.60E-03
23	0	2.98755E-06	-3.43E-03
