Plamp	Q_start	time	Dabs
20	0	1.17479E-09	1.30E-03
20	0	1.06786E-08	-5.16E-02
20	0	1.47538E-08	-5.56E-02
20	0	1.88312E-08	-5.94E-02
20	0	1.88689E-08	-5.71E-02
20	0	2.91078E-08	-6.37E-02
20	0	4.4945E-08	-6.53E-02
20	0	8.08408E-08	-6.33E-02
20	0	1.06733E-07	-6.14E-02
20	0	1.38837E-07	-5.93E-02
20	0	1.65756E-07	-5.79E-02
20	0	1.86471E-07	-5.64E-02
20	0	2.07186E-07	-5.48E-02
20	0	2.34108E-07	-5.33E-02
20	0	2.69535E-07	-5.19E-02
20	0	2.94166E-07	-4.98E-02
20	0	3.25224E-07	-4.84E-02
20	0	3.54215E-07	-4.68E-02
20	0	3.85276E-07	-4.52E-02
20	0	4.21859E-07	-4.34E-02
20	0	4.53609E-07	-4.18E-02
20	0	4.86737E-07	-4.03E-02
20	0	5.19864E-07	-3.89E-02
20	0	5.48855E-07	-3.74E-02
20	0	5.86115E-07	-3.63E-02
20	0	6.20286E-07	-3.43E-02
20	0	6.49613E-07	-3.33E-02
20	0	6.92053E-07	-3.18E-02
20	0	7.35178E-07	-3.05E-02
20	0	7.77273E-07	-2.89E-02
20	0	8.13847E-07	-2.76E-02
20	0	8.5111E-07	-2.63E-02
20	0	8.96649E-07	-2.51E-02
20	0	9.42531E-07	-2.39E-02
20	0	9.87726E-07	-2.26E-02
20	0	1.03326E-06	-2.14E-02
20	0	1.0788E-06	-2.01E-02
20	0	1.12433E-06	-1.97E-02
20	0	1.17055E-06	-1.87E-02
20	0	1.21368E-06	-1.75E-02
20	0	1.26093E-06	-1.68E-02
20	0	1.30715E-06	-1.59E-02
20	0	1.352E-06	-1.51E-02
20	0	1.39891E-06	-1.42E-02
20	0	1.44202E-06	-1.39E-02
20	0	1.48858E-06	-1.31E-02
20	0	1.53507E-06	-1.23E-02
20	0	1.57964E-06	-1.17E-02
20	0	1.62344E-06	-1.13E-02
20	0	1.6707E-06	-1.08E-02
20	0	1.71622E-06	-1.03E-02
20	0	1.76175E-06	-9.55E-03
20	0	1.80728E-06	-9.22E-03
20	0	1.8528E-06	-8.88E-03
20	0	1.89833E-06	-8.52E-03
20	0	1.94385E-06	-8.13E-03
20	0	1.96246E-06	-8.96E-03
20	0	1.99352E-06	-7.51E-03
20	0	2.03904E-06	-7.25E-03
20	0	2.08457E-06	-6.75E-03
20	0	2.12843E-06	-6.61E-03
20	0	2.17561E-06	-6.37E-03
20	0	2.22114E-06	-5.91E-03
20	0	2.26666E-06	-5.75E-03
20	0	2.31218E-06	-5.60E-03
20	0	2.35936E-06	-5.41E-03
20	0	2.40198E-06	-5.06E-03
20	0	2.44512E-06	-5.00E-03
20	0	2.49685E-06	-4.91E-03
20	0	2.54807E-06	-4.59E-03
20	0	2.59004E-06	-4.42E-03
20	0	2.62876E-06	-4.34E-03
20	0	2.70118E-06	-3.92E-03
20	0	2.75498E-06	-3.75E-03
20	0	2.82119E-06	-3.61E-03
20	0	2.86258E-06	-3.51E-03
20	0	2.92051E-06	-3.57E-03
20	0	2.96603E-06	-3.44E-03
20	0	2.99086E-06	-3.04E-03
