Plamp	Q_start	time	Dabs
14	2.659017744E-3	1.45254E-07	0.016770594
14	2.659017744E-3	1.46745E-07	0.020980472
14	2.659017744E-3	2.07344E-07	0.029189635
14	2.659017744E-3	2.6675E-07	0.034030895
14	2.659017744E-3	2.67654E-07	0.036583133
14	2.659017744E-3	2.97664E-07	0.039872051
14	2.659017744E-3	3.85426E-07	0.04332751
14	2.659017744E-3	4.44025E-07	0.045888419
14	2.659017744E-3	5.02587E-07	0.048344082
14	2.659017744E-3	5.61005E-07	0.050396298
14	2.659017744E-3	5.6162E-07	0.052132873
14	2.659017744E-3	7.07163E-07	0.0558407
14	2.659017744E-3	1.11787E-06	0.058931832
14	2.659017744E-3	1.68327E-06	0.058986238
14	2.659017744E-3	2.14663E-06	0.056895883
14	2.659017744E-3	2.59451E-06	0.054521253
14	2.659017744E-3	2.97313E-06	0.052083813
14	2.659017744E-3	3.48724E-06	0.04948608
14	2.659017744E-3	3.95071E-06	0.046710062
14	2.659017744E-3	4.4819E-06	0.044280994
14	2.659017744E-3	5.06265E-06	0.041519562
14	2.659017744E-3	5.58111E-06	0.039342492
14	2.659017744E-3	6.15245E-06	0.037157876
14	2.659017744E-3	6.63635E-06	0.035140577
14	2.659017744E-3	7.18972E-06	0.033802096
14	2.659017744E-3	7.8237E-06	0.032017728
14	2.659017744E-3	8.39996E-06	0.030147952
14	2.659017744E-3	8.97626E-06	0.028417388
14	2.659017744E-3	9.6104E-06	0.027087791
14	2.659017744E-3	1.02444E-05	0.025327107
14	2.659017744E-3	1.08786E-05	0.024175846
14	2.659017744E-3	1.15128E-05	0.022989289
14	2.659017744E-3	1.2147E-05	0.021878319
14	2.659017744E-3	1.27814E-05	0.021182869
14	2.659017744E-3	1.34156E-05	0.020032717
14	2.659017744E-3	1.40501E-05	0.019661642
14	2.659017744E-3	1.46555E-05	0.018704696
14	2.659017744E-3	1.53015E-05	0.01816532
14	2.659017744E-3	1.60107E-05	0.017168238
14	2.659017744E-3	1.66453E-05	0.017000504
14	2.659017744E-3	1.72796E-05	0.016283094
14	2.659017744E-3	1.7914E-05	0.015711966
14	2.659017744E-3	1.86309E-05	0.015137492
14	2.659017744E-3	1.91829E-05	0.014813852
14	2.659017744E-3	1.97943E-05	0.014375003
14	2.659017744E-3	2.06321E-05	0.013863563
14	2.659017744E-3	2.12018E-05	0.013673547
14	2.659017744E-3	2.18362E-05	0.013198842
14	2.659017744E-3	2.24707E-05	0.012919642
14	2.659017744E-3	2.31052E-05	0.012495647
14	2.659017744E-3	2.37397E-05	0.012301601
14	2.659017744E-3	2.43743E-05	0.012079945
14	2.659017744E-3	2.50088E-05	0.011786894
14	2.659017744E-3	2.56433E-05	0.011441994
14	2.659017744E-3	2.62778E-05	0.011246992
14	2.659017744E-3	2.69316E-05	0.011066059
14	2.659017744E-3	2.75708E-05	0.010634128
14	2.659017744E-3	2.81814E-05	0.010513635
14	2.659017744E-3	2.8816E-05	0.010454223
14	2.659017744E-3	2.94745E-05	0.010022267
14	2.659017744E-3	3.00851E-05	0.010046358
14	2.659017744E-3	3.07253E-05	0.009765999
14	2.659017744E-3	3.13541E-05	0.009550467
14	2.659017744E-3	3.19887E-05	0.009596576
14	2.659017744E-3	3.26233E-05	0.009374464
14	2.659017744E-3	3.29694E-05	0.009241512
