Plamp	Q_start	time	Dabs
14	0.601108462E-3	2.12613E-07	0.011487078
14	0.601108462E-3	4.7634E-07	0.014954513
14	0.601108462E-3	6.72836E-07	0.017087574
14	0.601108462E-3	1.0693E-06	0.019524561
14	0.601108462E-3	1.7041E-06	0.020049702
14	0.601108462E-3	2.33377E-06	0.019678658
14	0.601108462E-3	3.01319E-06	0.019834009
14	0.601108462E-3	3.60771E-06	0.019405373
14	0.601108462E-3	4.24702E-06	0.019078963
14	0.601108462E-3	4.88616E-06	0.018288509
14	0.601108462E-3	5.3049E-06	0.017693894
14	0.601108462E-3	5.88004E-06	0.017322033
14	0.601108462E-3	6.47691E-06	0.016645669
14	0.601108462E-3	7.11611E-06	0.016021857
14	0.601108462E-3	7.74587E-06	0.015897984
14	0.601108462E-3	8.22154E-06	0.015072729
14	0.601108462E-3	8.78875E-06	0.014814287
14	0.601108462E-3	9.43293E-06	0.014678358
14	0.601108462E-3	1.00673E-05	0.014055351
14	0.601108462E-3	1.07018E-05	0.013757653
14	0.601108462E-3	1.13459E-05	0.013330771
14	0.601108462E-3	1.19752E-05	0.012993707
14	0.601108462E-3	1.26053E-05	0.012768879
14	0.601108462E-3	1.32398E-05	0.012461613
14	0.601108462E-3	1.38983E-05	0.011949393
14	0.601108462E-3	1.44848E-05	0.01175543
14	0.601108462E-3	1.49413E-05	0.011272261
14	0.601108462E-3	1.55253E-05	0.010948936
14	0.601108462E-3	1.61383E-05	0.010936917
14	0.601108462E-3	1.67895E-05	0.010613308
14	0.601108462E-3	1.73929E-05	0.010473901
14	0.601108462E-3	1.79963E-05	0.01005261
14	0.601108462E-3	1.86716E-05	0.010011642
14	0.601108462E-3	1.93294E-05	0.009505573
14	0.601108462E-3	1.99E-05	0.009506904
14	0.601108462E-3	2.05848E-05	0.009131287
14	0.601108462E-3	2.12166E-05	0.008991123
14	0.601108462E-3	2.18346E-05	0.008763162
14	0.601108462E-3	2.24692E-05	0.008704661
14	0.601108462E-3	2.30114E-05	0.008258819
14	0.601108462E-3	2.3623E-05	0.008540019
14	0.601108462E-3	2.42368E-05	0.008008626
14	0.601108462E-3	2.48842E-05	0.00760657
14	0.601108462E-3	2.55651E-05	0.007872023
14	0.601108462E-3	2.61612E-05	0.007865893
14	0.601108462E-3	2.67765E-05	0.007664704
14	0.601108462E-3	2.73932E-05	0.007439365
14	0.601108462E-3	2.80649E-05	0.007412922
14	0.601108462E-3	2.86683E-05	0.007087309
14	0.601108462E-3	2.93531E-05	0.006783207
14	0.601108462E-3	2.99685E-05	0.006835568
14	0.601108462E-3	3.06031E-05	0.006700524
14	0.601108462E-3	3.12617E-05	0.006446637
14	0.601108462E-3	3.18481E-05	0.006261445
14	0.601108462E-3	3.21027E-05	0.005475162
14	0.601108462E-3	3.26798E-05	0.006208983
