Plamp	Q_start	time	Dabs
11	0	7.3584E-10	-2.78E-04
11	0	3.19706E-09	-1.64E-03
11	0	7.02889E-09	-2.09E-02
11	0	7.06119E-09	-1.89E-02
11	0	7.11074E-09	-1.58E-02
11	0	9.22154E-09	-1.31E-02
11	0	9.29949E-09	-8.23E-03
11	0	1.08786E-08	-3.91E-02
11	0	1.105E-08	-2.83E-02
11	0	1.12271E-08	-1.71E-02
11	0	1.13195E-08	-1.13E-02
11	0	1.1344E-08	-9.77E-03
11	0	1.1393E-08	-6.69E-03
11	0	1.29921E-08	-3.63E-02
11	0	1.30784E-08	-3.08E-02
11	0	1.49944E-08	-4.05E-02
11	0	1.50946E-08	-3.42E-02
11	0	1.51191E-08	-3.26E-02
11	0	1.69436E-08	-4.80E-02
11	0	1.69776E-08	-4.59E-02
11	0	1.7001E-08	-4.44E-02
11	0	2.93035E-08	-5.14E-02
11	0	3.89164E-08	-5.02E-02
11	0	7.69347E-08	-4.87E-02
11	0	1.10066E-07	-4.70E-02
11	0	1.45267E-07	-4.53E-02
11	0	1.76327E-07	-4.38E-02
11	0	2.0739E-07	-4.20E-02
11	0	2.40517E-07	-4.06E-02
11	0	2.73644E-07	-3.92E-02
11	0	3.08839E-07	-3.78E-02
11	0	3.47031E-07	-3.60E-02
11	0	3.78055E-07	-3.46E-02
11	0	4.1485E-07	-3.30E-02
11	0	4.51178E-07	-3.20E-02
11	0	4.91035E-07	-3.03E-02
11	0	5.24151E-07	-2.95E-02
11	0	5.5728E-07	-2.80E-02
11	0	6.02823E-07	-2.65E-02
11	0	6.4836E-07	-2.53E-02
11	0	6.93902E-07	-2.39E-02
11	0	7.39435E-07	-2.30E-02
11	0	7.84977E-07	-2.16E-02
11	0	8.3051E-07	-2.06E-02
11	0	8.76046E-07	-1.96E-02
11	0	9.21582E-07	-1.85E-02
11	0	9.66424E-07	-1.76E-02
11	0	1.01265E-06	-1.68E-02
11	0	1.05818E-06	-1.57E-02
11	0	1.10371E-06	-1.54E-02
11	0	1.14855E-06	-1.44E-02
11	0	1.19477E-06	-1.38E-02
11	0	1.2403E-06	-1.27E-02
11	0	1.28583E-06	-1.24E-02
11	0	1.33136E-06	-1.17E-02
11	0	1.37689E-06	-1.10E-02
11	0	1.42379E-06	-1.06E-02
11	0	1.46863E-06	-1.01E-02
11	0	1.51347E-06	-9.50E-03
11	0	1.55831E-06	-9.05E-03
11	0	1.60521E-06	-8.51E-03
11	0	1.65005E-06	-8.12E-03
11	0	1.69694E-06	-8.18E-03
11	0	1.74282E-06	-7.48E-03
11	0	1.78696E-06	-7.22E-03
11	0	1.83214E-06	-6.90E-03
11	0	1.87767E-06	-6.37E-03
11	0	1.92096E-06	-6.25E-03
11	0	1.96871E-06	-6.02E-03
11	0	2.01424E-06	-5.61E-03
11	0	2.05976E-06	-5.22E-03
11	0	2.10528E-06	-5.02E-03
11	0	2.15081E-06	-4.57E-03
11	0	2.19633E-06	-4.56E-03
11	0	2.24185E-06	-4.19E-03
11	0	2.28738E-06	-3.87E-03
11	0	2.3329E-06	-3.79E-03
11	0	2.37669E-06	-3.75E-03
11	0	2.42532E-06	-3.64E-03
11	0	2.47118E-06	-3.64E-03
11	0	2.51533E-06	-3.33E-03
11	0	2.5605E-06	-3.14E-03
11	0	2.60775E-06	-3.17E-03
11	0	2.65154E-06	-3.05E-03
11	0	2.69802E-06	-2.86E-03
11	0	2.74259E-06	-2.55E-03
11	0	2.78811E-06	-2.31E-03
11	0	2.83363E-06	-2.35E-03
11	0	2.87915E-06	-2.29E-03
11	0	2.92467E-06	-2.16E-03
11	0	2.97019E-06	-2.15E-03
11	0	2.99709E-06	-1.85E-03
